ID,Region,Region Link,Estate,Estate Link,Status,Price,Price per feet(built-up),Price per feet(salesable area),Block and unit number,Floor,Room,Gross area(sq feet),Net floor area(sq feet),Management Fee,Property age(year),Address,Views #,Bookmarked #,Ads or renew date,Modified date,User last login,Expire date,Scrape Date
576384,"Kwun Tong,Ngau Tau Kok",https://www.28hse.com/en/buy/district-g22,Po Pui Court,https://www.28hse.com/en/buy/estate-2030,For sale,3.48,6757.0,8678.0,,,2,515 ,401 ,,,,1605,0,2 months before,7 days before,7 days before,2018.07.27,07-07-2018
602480,"Hung Hom,Whampoa",https://www.28hse.com/en/buy/district-g32,Loong King Mansion,https://www.28hse.com/en/buy/estate-5703,For sale,5.38,,14010.0,,Low level,2,,384 ,$ 680,44.0,,560,0,29 days before,19 days before,8 hours before,2018.09.05,07-07-2018
590069,"To Kwa Wan,Kowloon City, Kai Tak",https://www.28hse.com/en/buy/district-g25,Apartment,https://www.28hse.com/en/buy/estate-8332,For sale,5.6,,12444.0,,Mid level,2,,450 ,,47.0,,1597,1,49 days before,6 days before,8 days before,2018.08.17,07-07-2018
601734,"To Kwa Wan,Kowloon City, Kai Tak",https://www.28hse.com/en/buy/district-g25,The Avery,https://www.28hse.com/en/buy/estate-7931,For sale,5.8,,25893.0,,High level,open style,,224 ,,4.0,,1590,0,30 days before,6 days before,8 days before,2018.09.04,07-07-2018
609652,"Kwun Tong,Ngau Tau Kok",https://www.28hse.com/en/buy/district-g22,Woodview Court,https://www.28hse.com/en/buy/estate-5768,For sale,6.5,,12082.0,,,2,,538 ,,,,445,0,19 days before,12 days before,12 days before,2018.09.16,07-07-2018
608814,"To Kwa Wan,Kowloon City, Kai Tak",https://www.28hse.com/en/buy/district-g25,Sun Shing Centre,https://www.28hse.com/en/buy/estate-5119,For sale,4.98,,17352.0,,High level,2,,287 ,$ 900,31.0,,755,0,20 days before,19 days before,8 hours before,2018.09.15,07-07-2018
609643,"Hung Hom,Whampoa",https://www.28hse.com/en/buy/district-g32,Appartment,https://www.28hse.com/en/buy/estate-3115,For sale,9.2,12185.0,16341.0,,High level,3,755 ,563 ,$ 1380,19.0,,305,0,19 days before,,8 hours before,2018.09.16,07-07-2018
609642,"Hung Hom,Whampoa",https://www.28hse.com/en/buy/district-g32,Harbour Place,https://www.28hse.com/en/buy/estate-3061,For sale,10.5,13636.0,17827.0,,,,770 ,589 ,,10.0,,180,0,19 days before,19 days before,24 hours before,2018.09.16,07-07-2018
602377,"Sham Shui Po,Shek Kip Mei",https://www.28hse.com/en/buy/district-g27,HighPoint,https://www.28hse.com/en/buy/estate-7737,For sale,9.0,,18036.0,,Low level,2,,499 ,,3.0,,315,0,29 days before,29 days before,1 days before,2018.09.05,07-07-2018
565881,"Hung Hom,Whampoa",https://www.28hse.com/en/buy/district-g32,The Met. Focus,https://www.28hse.com/en/buy/estate-6706,For sale,4.99,,25990.0,,Low level,open style,,192 ,$ 1377,4.0,,621,0,2 months before,19 days before,8 hours before,2018.07.12,07-07-2018
