ID,Region,Region Link,Estate,Estate Link,Status,Price,Price per feet(built-up),Price per feet(salesable area),Block and unit number,Floor,Room,Gross area(sq feet),Net floor area(sq feet),Management Fee,Property age(year),Address,Views #,Bookmarked #,Ads or renew date,Modified date,User last login,Expire date,Scrape Date
511965,Tuen Mun,https://www.28hse.com/en/buy/district-g48,Marina Garden,https://www.28hse.com/en/buy/estate-4421,For sale,6.88,7991,10650,,Mid level,3,861,646,,27.0,,1085,0,2 months before,9 days before,2 days before,2018.07.09,07-08-2018
530427,"Sai Kung,Clear Water Bay",https://www.28hse.com/en/buy/district-g41,Fei Ngo Shan Rd,https://www.28hse.com/en/buy/estate-7339,For sale,98.00,25587,36485,,,4,3830,2686,,,,2307,0,44 days before,44 days before,1 days before,2018.08.23,07-08-2018
581022,Tuen Mun,https://www.28hse.com/en/buy/district-g48,The Sherwood,https://www.28hse.com/en/buy/estate-4474,For sale,3.99,8209,11022,,High level,2,486,362,,13.0,,1595,1,63 days before,63 days before,3 hours before,2018.08.04,07-08-2018
571035,Tuen Mun,https://www.28hse.com/en/buy/district-g48,Village,https://www.28hse.com/en/buy/estate-4477,For sale,4.30,6143,,,,,700,,,,,555,0,2 months before,2 months before,3 hours before,2018.07.20,07-08-2018
593536,"Yuen Long,Tin Shui Wai",https://www.28hse.com/en/buy/district-g47,Village,https://www.28hse.com/en/buy/estate-4378,For sale,5.20,7428,8000,,Ground Floor,3,700,650,,,,425,0,44 days before,8 days before,1 days before,2018.08.23,07-08-2018
591819,Tuen Mun,https://www.28hse.com/en/buy/district-g48,Chi Lok Fa Yuen,https://www.28hse.com/en/buy/estate-4442,For sale,5.40,9184,10568,,,,588,511,,37.0,,290,0,46 days before,15 days before,19 days before,2018.08.20,07-08-2018
593539,"Yuen Long,Tin Shui Wai",https://www.28hse.com/en/buy/district-g47,Village,https://www.28hse.com/en/buy/estate-4378,For sale,4.98,7114,7324,,High level,3,700,680,,,,360,0,44 days before,44 days before,1 days before,2018.08.23,07-08-2018
593543,"Yuen Long,Tin Shui Wai",https://www.28hse.com/en/buy/district-g47,Village,https://www.28hse.com/en/buy/estate-4378,For sale,4.80,6857,7385,,Mid level,3,700,650,,,,395,0,44 days before,44 days before,1 days before,2018.08.23,07-08-2018
593331,Tuen Mun,https://www.28hse.com/en/buy/district-g48,Siu Lun Court,https://www.28hse.com/en/buy/estate-4453,For sale,4.45,,11097,,Low level,2,,401,,24.0,,235,0,44 days before,44 days before,1 days before,2018.08.22,07-08-2018
585098,Tsing Yi,https://www.28hse.com/en/buy/district-g51,Grand Horizon,https://www.28hse.com/en/buy/estate-4653,For sale,7.40,11490,15102,,High level,2,644,490,,17.0,,834,0,57 days before,43 days before,1 days before,2018.08.09,07-08-2018
