Region,Region Link,Estate,Estate Link,ID,Status,Price,Price per feet(built-up),Price per feet(salesable area),Block and unit number,Floor,Room,Gross area(sq feet),Net floor area(sq feet),Management Fee,Property age(year),Address,Views #,Bookmarked #,Ads or renew date,Modified date,User last login,Expire date,Scrape Date
"Tsim Sha Tsui,Jordan",https://www.28hse.com/en/buy/district-g31,Grandview Mansion,https://www.28hse.com/en/buy/estate-22665,621375,For sale,HK$ 11.30M ,,"$11,895",,Low level,2,,950 ,,52,Nos.5-7 Chatham Road South,909,0,7 days before,5 days before,1 days before,2018.08.04,07-12-2018
"Yuen Long,Tin Shui Wai",https://www.28hse.com/en/buy/district-g47,Village,https://www.28hse.com/en/buy/estate-4357,561566,For sale,HK$ 4.08M ,"$5,828",,,,,700 ,,,,--,15947,5,1 days before,1 days before,2 days before,2018.08.10,07-12-2018
"Yuen Long,Tin Shui Wai",https://www.28hse.com/en/buy/district-g47,Scenic Heights,https://www.28hse.com/en/buy/estate-22270,625462,For sale,HK$ 20.00M ,"$8,977","$12,005",A20,,,"2,228 ","1,666 ",$ 4500,10,SAN TAM ROAD,320,0,1 days before,,9 days before,2018.08.10,07-12-2018
"Kowloon Tong,Ho Man Tin,Yau Yat Tsuen",https://www.28hse.com/en/buy/district-g26,Parc Oasis,https://www.28hse.com/en/buy/estate-3090,623005,For sale,HK$ 26.68M ,"$18,324","$22,765",18座高層覆式,High level,3,"1,456 ","1,172 ",$ 3900,25,21 GRANDEUR ROAD ,933,0,4 days before,2 days before,4 days before,2018.08.06,07-12-2018
"Tai Kok Tsui,Olympic,Kowloon Station",https://www.28hse.com/en/buy/district-g29,Central Park,https://www.28hse.com/en/buy/estate-2561,618835,For sale,HK$ 17.00M ,"$18,028","$24,460",,Mid level,,943 ,695 ,,16,海庭道18號 ,1183,0,4 days before,4 days before,10 hours before,2018.08.31,07-12-2018
"Yuen Long,Tin Shui Wai",https://www.28hse.com/en/buy/district-g47,Village,https://www.28hse.com/en/buy/estate-4357,580911,For sale,HK$ 4.70M ,"$6,714",,,,3,700 ,,,,--,4514,1,1 days before,1 days before,7 hours before,2018.08.10,07-12-2018
"Lai Chi Kok,Cheung Sha Wan,Mei Foo,Lai King",https://www.28hse.com/en/buy/district-g28,Yee King Court,https://www.28hse.com/en/buy/estate-6463,623460,For sale,HK$ 5.20M ,,"$17,747",,Mid level,2,,293 ,,20,513-521 Shun Ning Road,1122,0,4 days before,4 days before,1 days before,2018.08.07,07-12-2018
"San Po Kong, Wong Tai Sin",https://www.28hse.com/en/buy/district-g33,Tsui Fung Building,https://www.28hse.com/en/buy/estate-22243,624692,For sale,HK$ 4.88M ,,"$11,296",,Mid level,3,,432 ,,1971,19-33 Tsui Fung Street,200,0,2 days before,3 hours before,,2018.08.11,07-12-2018
"To Kwa Wan,Kowloon City, Kai Tak",https://www.28hse.com/en/buy/district-g25,Majestic Park,https://www.28hse.com/en/buy/estate-2321,623211,For sale,HK$ 13.99M ,"$13,810","$17,488",,High level,3,"1,013 ",800 ,,20,NO.11 FARM ROAD,432,0,4 days before,19 hours before,19 hours before,2018.08.07,07-12-2018
"Tsim Sha Tsui,Jordan",https://www.28hse.com/en/buy/district-g31,Grandview Mansion,https://www.28hse.com/en/buy/estate-22665,625274,For sale,HK$ 11.30M ,,"$11,895",,Low level,2,,950 ,,52,Nos.5-7 Chatham Road South,596,0,1 days before,,1 days before,2018.08.09,07-12-2018
"Sham Shui Po,Shek Kip Mei",https://www.28hse.com/en/buy/district-g27,Apartment,https://www.28hse.com/en/buy/estate-2392,625427,For sale,HK$ 3.50M ,,"$17,073",,High level,1,,205 ,,,--,965,0,1 days before,1 days before,1 hours before,2018.08.10,07-12-2018
"Lai Chi Kok,Cheung Sha Wan,Mei Foo,Lai King",https://www.28hse.com/en/buy/district-g28,Sunlight Building,https://www.28hse.com/en/buy/estate-2471,625939,For sale,HK$ 10.85M ,,"$19,035",,,,,570 ,,26,NO.273 SHUN NING ROAD,431,0,1 days before,,3 hours before,2018.08.10,07-12-2018
,,,,509818,For sale,HK$ 4.85M ,,"$17,446",豪華閣/LUXURY COURT,Mid level,1,,278 ,,,--,2685,0,6 hours before,6 hours before,2 days before,2018.08.11,07-12-2018
"Sham Shui Po,Shek Kip Mei",https://www.28hse.com/en/buy/district-g27,Apartment,https://www.28hse.com/en/buy/estate-2392,625642,For sale,HK$ 7.98M ,,"$16,154",,Mid level,3,,494 ,,,--,456,0,1 days before,1 days before,3 days before,2018.08.10,07-12-2018
"ShaTin,Tai Wai,Fotan",https://www.28hse.com/en/buy/district-g44,City One Shatin,https://www.28hse.com/en/buy/estate-4080,623287,For sale,HK$ 5.58M ,,"$19,648",,Mid level,2,,284 ,,31,NO.4 TAK LEE STREET,1181,0,4 days before,4 days before,10 days before,2018.08.07,07-12-2018
"Yuen Long,Tin Shui Wai",https://www.28hse.com/en/buy/district-g47,Fairview Park,https://www.28hse.com/en/buy/estate-4303,604044,For sale,HK$ 13.50M ,"$12,796","$13,043",,,3,"1,055 ","1,035 ",,,錦繡花園河北第十街,3185,0,1 days before,1 days before,1 days before,2018.08.10,07-12-2018
,,,,626196,For sale,HK$ 16.50M ,"$7,857",,,,5 + ,"2,100 ",,$ 約$2000-300,37,--,380,0,8 hours before,,7 hours before,2018.08.11,07-12-2018
"Yuen Long,Tin Shui Wai",https://www.28hse.com/en/buy/district-g47,Fu On Building,https://www.28hse.com/en/buy/estate-4338,623432,For sale,HK$ 5.38M ,,"$11,929",,,2,,451 ,,32,No.18 Kin Tak Street,471,0,4 days before,3 days before,13 days before,2018.08.07,07-12-2018
Tsing Yi,https://www.28hse.com/en/buy/district-g51,Tsing Yi Garden,https://www.28hse.com/en/buy/estate-4662,595566,For sale,HK$ 5.68M ,,"$16,560",Block 1 Lower Floor,Low level,2,,343 ,,32,NOS.7-19 TSING LUK STREET,1641,0,4 days before,22 hours before,2 days before,2018.08.07,07-12-2018
"Tai Kok Tsui,Olympic,Kowloon Station",https://www.28hse.com/en/buy/district-g29,Upper West,https://www.28hse.com/en/buy/estate-7881,618833,For sale,HK$ 13.20M ,"$21,782","$29,864",,Low level,2,606 ,442 ,,2,No.18 Fuk Chak Street,792,0,4 days before,4 days before,10 hours before,2018.09.06,07-12-2018
"Tsim Sha Tsui,Jordan",https://www.28hse.com/en/buy/district-g31,Grandview Mansion,https://www.28hse.com/en/buy/estate-22665,617494,For sale,HK$ 11.30M ,,"$11,895",,Low level,2,,950 ,,52,Nos.5-7 Chatham Road South,1218,0,12 days before,7 days before,1 days before,2018.07.29,07-12-2018
"Hung Hom,Whampoa",https://www.28hse.com/en/buy/district-g32,Wuhu Residence,https://www.28hse.com/en/buy/estate-5578,590844,,HK$ 5.48M ,,"$22,367",27A,High level,open style,,245 ,$ 1000,6,111 WUHU STREET,4584,0,23 days before,5 days before,20 hours before,2018.07.19,07-12-2018
"Yau Tong,Lam Tin",https://www.28hse.com/en/buy/district-g21,Hong Wah Court,https://www.28hse.com/en/buy/estate-2011,337445,For sale,HK$ 5.10M ,"$8,870","$11,972",,,,575 ,426 ,,,NO.2 LIN TAK ROAD,19210,2,25 days before,20 days before,2 days before,2018.07.17,07-12-2018
